title,description,location,features,date,price
3 bhk flat for sale Kazhakoottam,3 bhk Kazhakoottam  With all premium amenities  Pool Gym Kids play area Association hall Etc From Kazhak Jun 1.5 Km,"India, Kerala, Thiruvananthapuram, Kazhakkoottam-Menamkulam",3 BHK - 2 Bathroom - 1200 sqft,2025-05-16T12:46:13+0000,"₹ 56,50,000"
920 SQFT 3BHK LUXURY HOUSE FOR SALE 200 MTR. FROM MAIN ROAD,920 SQFT 3BHK LUXURY HOUSE FOR SALE  4 KM FROM MUSHIPULLIA METRO STATION  200 MTR. FROM MAIN SUGAMAU ROAD NEAR SHANI MANDIR CHAURAHA  DENCE POPULATION 25 FEET FROM ROAD  3 BHK HOUSE WITH LUXURY MODERN INTERIOR AND FANCY LIGHTING ALONG WITH MODULAR KITCHEN ... SCHOOL HOSPITAL AND MARKETS ARE NEAR BY  LAST UNIT  DEMAND 52 LACS,"India, Uttar Pradesh, Lucknow, Indira Nagar",3 BHK - 2 Bathroom - 1350 sqft,2025-05-10T04:24:15+0000,"₹ 51,99,999"
One kanal house for sale in emaar mgf sector 105,One kanal house for sale in sector 105 mohali emaar,"India, Punjab, Mohali, Sector 105",4+ BHK - 4+ Bathroom - 7400 sqft,2025-05-15T05:04:46+0000,"₹ 7,75,00,000"
"PERUMBAVOOR, KURUPPAMPADY TOWN 5 CENT LAND  2 BHK HOUSE FOR SALE","പെരുമ്പാവൂർ, കുറുപ്പംപടി ടൗണിന് സമീപം  5 സെന്റ് സ്ഥലത്തിൽ 677 Sqft വീട് പണിത് കൊടുക്കുന്നു.   •	400 Mtr TO SCHOOL  •	600 Mtr TO SCMS COLLEGE  •	800 Mtr TO TEMPLE  •	1.2 KM TO CHURCH  •	1.5 KM TO KTM COLLEGE  •	1.6 KM TO NATIONAL HIGHWAY  •	2.5 KM TO HOSPITAL  •	3 KM TO KURUPPAMPADY TOWN  •	6.5 KM TO PERUMBAVOOR  •	20 KM TO ALUVA  •	20 KM TO AIRPORT   DRY LAND ( പുരയിടം )  എല്ലാവിധ സൗകര്യങ്ങളോടുകൂടിയ HOUSE PLOT)  ജല സൗകര്യം, പവർ, റോഡ് സൗകര്യങ്ങൾ ലഭ്യമാണ്.  90% ലോൺ സൗകര്യം   RS. 22,50,000","India, Kerala, Kochi, Karimugal",2 BHK - 2 Bathroom - 677 sqft,2025-05-07T04:22:47+0000,"₹ 22,50,000"
House for sale in palamattom,"10 cent land with 3 bhk (1 AC room,Walldrobe for all rooms, furnished kitchen, work area, car porch, all lights and fans, window curtains available)","India, Kerala, Kottayam, Karukachal",3 BHK - 2 Bathroom - 1450 sqft,2025-05-26T14:24:22+0000,"₹ 50,00,000"
Man opus 1bhk flats 60lakh immediately available,Man opus township big complex of 9 wings 900flats complex all amenities gymnasium club house mgl gas connection podium parking,"India, Maharashtra, Mumbai, Mira Road East",1 BHK - 2 Bathroom - 700 sqft,2025-05-26T17:26:18+0000,"₹ 60,00,000"
2bhk Premium Flats,Usp :  1) 40m main Atladra Padra road location  2)Connecting 75m wide ring road phase one 3) Entry/Exit of New Mumbai - Delhi expressway 1.5 km away,"India, Gujarat, Vadodara, Bhayli",2 BHK - 2 Bathroom - 1050 sqft,2025-05-12T07:06:30+0000,"₹ 25,00,000"
Furnished 2 bhk For Sale In Sukur Enclave Ananad Nagar Thane west.,"Furnished 2 bhk For Sale in Sukur Enclave Ananad Nagar Thane west.  Flat is very well maintained which Includes Modular kitchen, Wardrobes, Bed, Fans, Lights, Curtains Rods, Geysers, Jaguar Fitting In all Bathrooms, False Ceiling in all the Rooms, Balcony in all the Rooms & etc. Its Comes with Parking as well  Fully furnished and well maintained with fresh and vibrant interiors.","India, Maharashtra, Thane, Ghodbuder Road",2 Bds - 2 Ba - 1000 ft2,2025-04-27T14:16:05+0000,"₹ 92,00,000"
2 Bhk for sale Akkayyapalem,"Flat for sale in akkayyapalem, near co operative Bank, 2 Bhk, north facing, no car parking, Cc cameras, no water problem, North facing, puja room, kitchen, 2bks, 2 bothrooms, 2 balconies, Hall, 19 years old","India, Andhra Pradesh, Visakhapatnam, Akkayyapalem",2 BHK - 2 Bathroom - 950 sqft,2025-05-01T06:01:50+0000,"₹ 52,00,000"
3BHK Apartment for Sale in Prime Location of Sambalpur,3 BHK Apartment for Sale in Sambalpur. Located in Prime location .Near to Sambalpur Railway Station and City Centre. Modular Kitchen done.Wadrobe built in rooms.Separate Parking available.Property located in 1st floor.,"India, Odisha, Sambalpur, Khetrajpur",3 BHK - 2 Bathroom - 2000 sqft,2025-05-16T14:16:08+0000,"₹ 72,00,000"
New 2bhk Flat in One Hiranandani Park Patlipada Ghodbunder Road Thane.,"New 2bhk Flat in One Hiranandani Park Patlipada Ghodbunder Road Thane.  Its Comes with Fully Modular Kitchen with Chimney, Fully Automatic Washing Machine, Double Door Fridge, Ac in all the rooms, Wardrobes in both the Bedrooms, Balcony in all the rooms, Geysers in Both Bathrooms and etc.. This is a Property where you can feel the nature and pollution free Environment while enjoying your homes in Thane City, It Provides you good Ambience surrounded with nature and peace. It Comes with All Luxurios Amenities like Swimming Pool, Gym, Garden, Play Court, Banquet hall, Children Play area & Many more, It is a road touch complex","India, Maharashtra, Thane, Hiranandani Estate",2 Bds - 2 Ba - 900 ft2,2025-04-28T08:21:09+0000,"₹ 1,65,00,000"
Rajsoorya's  Elixir,Luxurious Budget  modern villas,"India, Tamil Nadu, Coimbatore, Nallampalayam",3 BHK - 3 Bathroom - 900 sqft,2025-05-14T04:26:30+0000,"₹ 59,75,000"
A newly made(2021) house for sell,106 yard house for sell in prime location . Mahendra nagar phase 2.dohra road bareilly,"India, Uttar Pradesh, Bareilly, Dohara",2 BHK - 2 Bathroom - 1100 sqft,2025-05-26T11:56:22+0000,"₹ 62,00,000"
1 bhk with cover car parking and master bedroom,705 sqft (1 bhk) East west facing  With master bedroom attached toilet bathroom and dry balcony in kitchen  With cover car parking,"India, Gujarat, Vapi, Rata",1 BHK - 1 Bathroom - 705 sqft,2025-05-19T05:54:55+0000,"₹ 14,00,000"
House for sale,Housing property,"India, Kerala, Kallelibhagom, Punnoor",3 BHK - 3 Bathroom - 2249 sqft,2025-05-03T04:47:47+0000,"₹ 93,00,000"
Forselling,"House,fully furnished, rate negotiable .","India, Kerala, Kochi, Varapuzha",4+ BHK - 4+ Bathroom - 2000 sqft,2025-05-15T14:07:17+0000,"₹ 80,00,000"
2BED WITH 2 CAR PARK,"Indulge in Nature's Serenity at Pune Prime Spot. Saheel Properties is dedicated to setting new benchmarks in Pune’s real estate sector. We meticulously anticipate modern lifestyle trends and build communities for joyful families with a forward-thinking approach. The reason our residences stand far ahead in terms of concept and experience is their seamless alignment with a prosperous future. Saheel Itrend Futura Baner NX represents a forward-thinking endeavor aimed at optimizing space utilization and elevating comfort standards in cutting-edge residences. 2 & 3 BHK future ready homes this visionary initiative has introduced groundbreaking concepts such as ‘Convertible Homes’ and layouts designed to minimize wastage, garnering enthusiastic praise from our expanding community of satisfied customers and the broader market. Saheel Itrend Futura Baner NX communities have established serve as models of a stylish and dynamic lifestyle that resonates with the future.  Parking: Basement + Ground + 4 Podium Levels 36 M Wide Road Touch Fully Automated Smart Homes 1+ Acre Vehicular-Free Podium Amenities Showrooms, Shops & Offices at Your Doorstep 1.5 Acres Of Amenities Spa Rooms & Co-Working Spaces in Each Tower 2 Grand Clubhouse 60 Seating Co Working Spaces Highstreet 30 Guest Rooms Digital Classrooms","India, Maharashtra, Pune, Baner",2 Bds - 2 Ba - 1047 ft2,2025-04-21T12:50:18+0000,"₹ 74,69,000"
2 BHK Starting from 70 L in Bavdhan | Prime Area of Bavdhan,"In our daily life, we combat tiring commute and pollution almost every day. And all we long for is to feel fresh, breathe fresh at least at home. With this in mind, we are creating innovative 1 & 2 BHK apartments. These will be carefully designed to increase oxygen levels with the help of plants. And while keeping your home fresh is our aim, we also found a way to make your surrounding even fresher. Coupled with Bavdhan's finest scenic views, we have thoughtfully planned a host of unique amenities that will bring you closer to nature yet keep you connected to the things you love. Come home to freshness, come home to Puraniks Abitante Fiore.  Puranik Builders Limited is a leading real estate company providing comprehensive residential and commercial solutions across various categories. Established in 1990, we have successfully developed over 4.21 Lakh sq.mt over two decades, while over 9.88 Lakh sq.mt. are under construction. Trustworthy Corporation, quality structure, innovative design and concepts, and strict adherence to delivery schedules and budget estimates are our key values. We believe in delivering 'Ideas that stay with you'. Hence, we continuously strive to go beyond mere amenities and deliver something that would be a delight for years together.  *Note:- Mentioned price does not include Govt. charges*","India, Maharashtra, Pune, Bavdhan",2 Bds - 2 Ba - 970 ft2,2025-04-27T07:46:46+0000,"₹ 64,99,999"
